7/22/11,1.04884
8/24/11,1.06685
9/19/11,1.08841
10/17/11,1.09862
11/17/11,1.11560
12/17/11,1.13257
1/17/12,1.14955
2/17/12,1.15511
3/17/12,1.15661
4/17/12,1.15812
5/16/12,1.15962
6/16/12,1.16300
7/16/12,1.16303
8/16/12,1.16306
9/16/12,1.16309
10/16/12,1.19000
11/16/12,1.18295
12/16/12,1.17590
1/16/13,1.16884
2/16/13,1.16179
3/16/13,1.15474
4/16/13,1.14769
5/16/13,1.14063
6/16/13,1.13358
7/24/13,1.02508
8/20/13,1.03381
9/20/13,1.04254
10/20/13,1.05127
11/20/13,1.06000
12/20/13,1.06873
1/20/14,1.07746
2/20/14,1.08619
3/20/14,1.09492
4/20/14,1.10365
5/20/14,1.11237
6/20/14,1.12110
7/20/14,1.12983
8/20/14,1.13856
9/20/14,1.14904
10/20/14,1.15951
11/20/14,1.16999
12/20/14,1.18046
1/20/15,1.19094
2/10/15,1.17090
3/10/15,1.15959
4/20/15,1.14827
5/5/15,1.15943
